taxonId,taxon
ematurga_atomaria_form_minuta,Ematurga atomaria form minuta
ematurga_atomaria_subsp__atomaria,Ematurga atomaria subsp. atomaria
emmelina_monodactyla,Emmelina monodactyla
enargia_paleacea,Enargia paleacea
enarmonia_formosana,Enarmonia formosana
endothenia_ericetana,Endothenia ericetana
endothenia_gentianaeana,Endothenia gentianaeana
endothenia_quadrimaculana,Endothenia quadrimaculana
endotricha_flammealis,Endotricha flammealis
endrosis,Endrosis
endrosis_sarcitrella,Endrosis sarcitrella
ennomos_alniaria,Ennomos alniaria
ennomos_erosaria,Ennomos erosaria
ennomos_fuscantaria,Ennomos fuscantaria
ennomos_quercinaria,Ennomos quercinaria
entephria_caesiata,Entephria caesiata
entephria_flavicinctata,Entephria flavicinctata
epagoge_grotiana,Epagoge grotiana
epermenia_chaerophyllella,Epermenia chaerophyllella
ephestia_elutella,Ephestia elutella
ephestia_kuehniella,Ephestia kuehniella
epiblema,Epiblema
epiblema_cirsiana,Epiblema cirsiana
epiblema_costipunctana,Epiblema costipunctana
epiblema_foenella,Epiblema foenella
epiblema_scutulana,Epiblema scutulana
epiblema_sticticana,Epiblema sticticana
epiblema_turbidana,Epiblema turbidana
epinotia,Epinotia
epinotia_abbreviana,Epinotia abbreviana
epinotia_bilunana,Epinotia bilunana
epinotia_brunnichana,Epinotia brunnichana
epinotia_caprana,Epinotia caprana
epinotia_cruciana,Epinotia cruciana
epinotia_demarniana,Epinotia demarniana
epinotia_immundana,Epinotia immundana
epinotia_maculana,Epinotia maculana
epinotia_mercuriana,Epinotia mercuriana
epinotia_nanana,Epinotia nanana
